2023-07-01T18:28:07.022-03:00  INFO 1279371 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-07-01T18:28:07.023-03:00 DEBUG 1279371 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
2023-07-01T18:28:07.023-03:00  INFO 1279371 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2139 ms
2023-07-01T18:28:07.028-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'requestContextFilter'
2023-07-01T18:28:07.034-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'formContentFilter'
2023-07-01T18:28:07.035-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration'
2023-07-01T18:28:07.041-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'characterEncodingFilter'
2023-07-01T18:28:07.051-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.w.s.ServletContextInitializerBeans : Mapping filters: characterEncodingFilter urls=[/*] order=-2147483648, formContentFilter urls=[/*] order=-9900, requestContextFilter urls=[/*] order=-105
2023-07-01T18:28:07.052-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.w.s.ServletContextInitializerBeans : Mapping servlets: dispatcherServlet urls=[/]
2023-07-01T18:28:07.093-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.w.s.f.OrderedRequestContextFilter  : Filter 'requestContextFilter' configured for use
2023-07-01T18:28:07.100-03:00 DEBUG 1279371 --- [restartedMain] s.b.w.s.f.OrderedCharacterEncodingFilter : Filter 'characterEncodingFilter' configured for use
2023-07-01T18:28:07.100-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.w.s.f.OrderedFormContentFilter     : Filter 'formContentFilter' configured for use
2023-07-01T18:28:07.112-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'lessonsApplication'
2023-07-01T18:28:07.114-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'lessonController'
2023-07-01T18:28:07.125-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'lessonService'
2023-07-01T18:28:07.130-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'lessonController' via constructor to bean named 'lessonService'
2023-07-01T18:28:07.135-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'loginController'
2023-07-01T18:28:07.136-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authenticationService'
2023-07-01T18:28:07.137-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'loginController' via constructor to bean named 'authenticationService'
2023-07-01T18:28:07.139-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2023-07-01T18:28:07.142-03:00 DEBUG 1279371 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration'
